Customer shall not produce any of ODP Business Solutions proprietary and confidential information without ODP Business Solutions prior written consent.  ,,,,,,,,
"Upon notice to ODP Business Solutions of any request for its confidential information, Customer shall allow ODP Business Solutions to determine, in its sole discretion, ",,,,,,,,
"the relevant material to disclose, if any.  Customer shall assume all of ODP Business Solutions information provided to Customer is confidential. ",,,,,,,,
,,,,,,,,
 5/3 ,,,,,,,,
"Reporting Period: May 1, 2022 - May 1, 2023",,,,,,,,
Depot Product Code,Product Description,Wholesaler Product Code,Primary Supplier Id,Primary Supplier Name,Merch Dept,Pack Qty,UOM,Qty Sold
488043,"TONER,HP CE265A,COLLECTION",CE265A,419894,HP INC,65-Toners/other imaging,1,EA,66
493274,"HP410A,TONER,MAGENTA",CF413A,419894,HP INC,65-Toners/other imaging,1,EA,1
4969007,"INK,BROTHER,LC3037,KCMY,4PK",LC30374PKS,1614,BROTHER INTL CORP,14-Inkjet cartridges,1,EA,3
4995346,"TONER,HP,147A,BLK",7WB761,8765,INGRAM MICRO INC,65-Toners/other imaging,1,EA,60
502589,"CRTDG,TONER,RTN PRGM,501",50F1000,6229,LEXMARK INTL INC,65-Toners/other imaging,1,EA,1
508901,"TONER,LJ,HP 508A,BLK ORG",CF360A,419894,HP INC,65-Toners/other imaging,1,EA,4
508946,"TONER,LJ,HP 508A,CYAN ORG",CF361A,419894,HP INC,65-Toners/other imaging,1,EA,5
508962,"TONER,LJ,HP 508A,YLLW ORG",CF362A,419894,HP INC,65-Toners/other imaging,1,EA,3
509111,"TONER,HP 508A,MAG ORG",CF363A,419894,HP INC,65-Toners/other imaging,1,EA,2
509369,"INK,HP,63,TRICOLOR",F6U61AN#140,3061,HP INC,14-Inkjet cartridges,1,EA,1
509394,"INK,CARTRIDGE,HP 63,BLACK",F6U62AN#140,3061,HP INC,14-Inkjet cartridges,1,EA,4
515000,"INK,EPSON,T802XL220-S,CYAN",T802XL220-S,1351,EPSON AMERICA INC,14-Inkjet cartridges,1,EA,1
523218,"INK,CARTRIDGE,HP 63XL,BLACK",F6U64AN#140,3061,HP INC,14-Inkjet cartridges,1,EA,1
523914,"INK,HP 61,BLACK",CH561WN#140,3061,HP INC,14-Inkjet cartridges,1,EA,1
523932,"INK,HP 61,TRICOLOR",CH562WN#140,3061,HP INC,14-Inkjet cartridges,1,EA,1
